0.868	0.692
0.792	0.651
0.689	0.540
0.572	0.483
0.510	0.455
0.532	0.490
0.634	0.609
0.825	0.865
1.076	1.179
1.203	1.193
1.158	1.064
1.079	0.954
0.879	0.810
0.768	0.620
0.640	0.500
0.517	0.388
0.390	0.312
0.338	0.273
0.318	0.277
0.355	0.362
0.671	0.616
0.811	0.719
0.737	0.731
0.718	0.657
0.708	0.513
0.650	0.464
0.658	0.470
0.604	0.425
0.464	0.336
0.346	0.272
0.342	0.312
0.466	0.473
0.830	0.930
1.132	1.168
1.144	1.071
1.089	1.002
1.036	0.905
1.010	0.871
0.978	0.852
0.871	0.692
0.709	0.537
0.558	0.464
0.538	0.483
0.622	0.610
0.827	0.834
1.069	1.129
1.224	1.226
1.236	1.138
1.204	1.131
1.209	1.076
1.169	0.990
1.101	0.907
1.010	0.869
0.919	0.819
0.830	0.731
0.869	0.846
1.005	0.957
1.279	1.415
1.527	1.576
1.601	1.594
1.577	1.517
1.473	1.410
1.316	1.112
1.142	0.937
0.937	0.799
0.757	0.671
0.657	0.562
0.604	0.530
0.493	0.491
0.550	0.651
0.969	1.126
1.191	1.158
1.086	1.002
0.945	0.823
0.758	0.620
0.613	0.511
0.552	0.466
0.426	0.347
0.270	0.238
0.206	0.234
0.226	0.266
0.336	0.431
0.778	0.845
0.987	0.954
0.848	0.907
0.863	0.806
0.774	0.773
0.812	0.722
0.762	0.630
0.621	0.519
0.479	0.411
0.408	0.359
0.488	0.423
0.557	0.521
0.837	0.900
1.148	1.173
1.180	1.137
1.151	1.022
1.102	0.977
1.049	0.856
0.979	0.794
0.836	0.643
0.702	0.557
0.631	0.565
0.641	0.584
0.726	0.686
0.852	0.912
1.366	1.541
1.520	1.504
1.394	1.348
1.298	1.240
1.192	1.081
1.077	0.910
0.905	0.744
0.736	0.608
0.558	0.518
0.527	0.476
0.556	0.576
0.956	1.100
1.133	1.226
1.121	1.038
0.990	0.906
0.816	0.755
0.761	0.652
0.713	0.594
0.564	0.460
0.369	0.305
0.298	0.222
0.279	0.244
0.379	0.374
0.796	0.977
1.112	1.102
0.989	0.845
0.862	0.795
0.780	0.694
0.721	0.669
0.749	0.720
0.662	0.583
0.413	0.408
0.238	0.322
0.215	0.370
0.341	0.537
0.783	1.047
1.086	1.166
1.048	1.058
1.007	1.022
1.022	1.011
1.098	1.126
1.105	1.034
0.920	0.780
0.693	0.557
0.586	0.497
0.611	0.540
0.696	0.643
0.923	1.019
1.239	1.333
1.275	1.069
1.105	1.038
1.033	1.007
0.974	0.885
0.967	0.863
0.884	0.701
0.690	0.484
0.480	0.371
0.407	0.367
0.412	0.391
0.522	0.640
1.039	1.271
1.234	1.230
1.088	1.034
0.972	0.903
0.946	0.826
0.930	0.821
0.906	0.777
0.740	0.582
0.532	0.470
0.454	0.436
0.480	0.501
0.622	0.688
1.029	1.323
1.318	1.463
1.234	1.273
1.142	1.217
1.140	1.198
1.083	1.106
1.063	1.047
0.923	0.850
0.685	0.589
0.523	0.509
0.550	0.519
0.649	0.718
1.052	1.232
1.341	1.439
1.269	1.296
1.234	1.137
1.137	1.074
1.092	0.990
0.994	0.888
0.852	0.697
0.718	0.525
0.595	0.459
0.609	0.478
0.677	0.593
0.873	0.827
0.826	0.846
0.727	0.767
0.680	0.695
0.660	0.609
0.672	0.622
0.708	0.598
0.723	0.551
0.528	0.440
0.305	0.308
0.230	0.277
0.242	0.360
0.354	0.523
0.812	1.089
1.014	1.074
0.861	0.962
0.764	0.913
0.809	0.862
0.738	0.860
0.824	0.943
0.733	0.825
0.533	0.686
0.532	0.745
0.739	1.069
1.133	1.529
1.473	1.763
1.613	1.830
1.654	1.905
1.700	1.916
1.781	2.080
1.766	1.912
1.633	1.728
1.391	1.506
1.205	1.333
1.124	1.309
1.173	1.304
1.296	1.497
1.595	2.080
2.001	2.290
2.030	2.277
1.980	2.154
